ts_code,trade_date,bid_open,bid_close,bid_high,bid_low,ask_open,ask_close,ask_high,ask_low,tick_qty
BARC.UK,20250403,268.64,248.06,268.64,239.31,271.24,250.66,271.24,241.04,80873
USEQUITIES,20250403,4093.5,3863.4,4106.7,3839.2,4094.5,3864.4,4108.7,3841.2,1045809
GBPNZD.FXCM,20250403,2.25942,2.30147,2.31904,2.25812,2.26232,2.306,2.31994,2.26026,583980
FAANG,20250403,7090.38,6699.93,7090.38,6683.74,7091.38,6700.93,7091.38,6689.89,532300
WOW.AU,20250403,29.97,31.05,31.07,29.84,30.1,31.18,31.21,29.99,7492
T.US,20250403,28.51,26.57,28.51,26.47,28.63,26.7,28.63,26.61,24768
NVDA.US,20250403,101.7,94.24,101.7,91.98,101.93,94.47,101.93,92.23,351221
NET.US,20250403,107.29,96.87,107.29,94.18,107.42,97.0,107.42,94.43,11791
TRIP.US,20250403,12.94,11.61,12.94,11.39,13.07,11.75,13.07,11.55,11832
USDCAD.FXCM,20250403,1.40944,1.4225,1.42583,1.40523,1.40992,1.42403,1.42606,1.40551,762629
CRM.US,20250403,254.83,240.47,254.83,239.33,255.16,240.8,255.16,240.05,21437
MRK.DE,20250403,121.63,117.41,122.49,116.25,121.96,117.74,122.92,116.65,20544
DADA.US,20250403,1.86,1.84,1.86,1.79,1.99,1.97,1.99,1.94,288
BKNG.US,20250403,4452.66,4295.36,4502.95,4289.93,4452.8,4302.37,4511.91,4296.13,451
W.US,20250403,25.01,25.96,26.8,20.33,25.14,26.09,27.07,20.52,15684
PTON.US,20250403,5.33,4.98,5.33,4.56,5.47,5.11,5.47,4.7,10404
DTE.DE,20250403,33.92,32.83,34.07,32.38,34.06,32.96,34.22,32.52,28596
USDZAR.FXCM,20250403,18.7163,19.0571,19.21854,18.6817,18.7422,19.1379,19.22671,18.72216,435675
CADJPY.FXCM,20250403,103.56,103.192,104.093,101.859,103.708,103.351,104.129,101.897,1076152
BESI.NL,20250403,89.394,89.156,91.751,85.551,89.624,89.386,92.031,85.829,41897
FVRR.US,20250403,23.37,21.98,23.37,21.34,23.5,22.11,23.51,21.55,2663
SBUX.US,20250403,88.13,81.95,88.13,81.13,88.36,82.17,88.36,81.42,50009
EURJPY.FXCM,20250403,161.388,161.053,161.994,159.007,161.452,161.177,162.015,159.033,2093915
Z1P.AU,20250403,1.42,1.21,1.42,1.21,1.55,1.34,1.55,1.33,2047
COIN.US,20250403,170.55,159.75,170.55,147.13,170.68,159.88,170.68,147.38,29813
FMG.AU,20250403,14.85,14.79,14.94,14.39,14.99,14.92,15.08,14.53,10538
TGT.US,20250403,94.09,95.54,96.75,90.5,94.32,95.77,97.06,90.77,29239
NZDJPY.FXCM,20250403,84.57,82.084,84.726,81.072,84.684,82.251,84.765,81.112,850859
COFFEENYF,20250403,386.45,366.66,389.19,364.82,386.56,366.77,389.39,365.02,17154
VNA.DE,20250403,26.57,26.33,27.43,26.06,26.7,26.46,27.56,26.2,24625
CA.FR,20250403,13.49,13.22,13.56,13.16,13.62,13.36,13.69,13.29,11633
PLUG.US,20250403,1.15,1.14,1.18,1.01,1.28,1.27,1.31,1.14,1111
RIVN.US,20250403,11.43,11.13,11.43,10.31,11.57,11.26,11.57,10.44,12505
BP.UK,20250403,397.74,369.38,398.89,359.8,401.04,372.68,403.19,366.24,80880
